identifier,product_description,brand,name,rd_unit_count,rd_size_value,rd_size_uom
56436,Plastic Lid Clear Lcrs-32 32z Slotted (600 CT),,,,,
57530,Skyline 33GAL Black Trash Bag/Can Liners Heavy Duty (100CT),,,,,
50105,NCCO Register Roll 1-Ply Thermal Paper #7313 (10CT) - 3/CS,,,,,
51782,Libbey Hibal Gibraltar Glass 12z (36 CT),,,,,
51779,Libbey 15235 Tall Cooler Glasses 12 oz (36 CT),,,,,
59669,Chicken Honey Dipt 4pc ~,,,,,
55576,Bag Sandwich #Pb6 4.5x4. (2000 CT),,,,,
420004,Heineken 4x6pk 24ct 12oz Bottles,,,,,
420598,Lagunitas IPA India Pale Ale 24/12oz,,,,,
80732,Lagunitas IPA 12oz (24CT),,,,,
761516,RE-48- rectangle plastic container,,,,,
30581,Fabri-Kal 4oz Portion Cups #PC400 (125CT) - 20/CS,,,,,
56437,International Paper Hot Cup 4oz SOHO Design SMR-4 (1000 CT),,,,,
460160,Bar Code Vodka 1 Liter - 12/CS,,,,,
79202,Sun-Dried Tomatoes Strips/Julienne - 5lb,,,,,
30603,Fabrikal PC550 5.5oz Plastic Souffle Cup (125 CT) - 20/CS,,,,,
55626,"PattyWax 5.5""x5.5"" Patty Paper Heavy - 24/CS (1000CT)",,,,,
55612,"BagCraft PattyWax Waxed Patty Paper 5.5""x5.5"" Heavy Weight (1000CT) - 24/CS",,,,,
55614,Bag Foil Hot 1/2gl (500 CT),,,,,
